nr,real,scatter,polyhedron,symm,theta,phi,alpha,size,stretch,axis
98,./real/1/98r.png,./scatter/1/98s.png,Rhombicuboctahedron,O_h,1.50908,-2.85377,2.53586,0.805262,0.873641,C4
99,./real/1/99r.png,./scatter/1/99s.png,Truncated Cube,O_h,0.975621,-1.02463,0.340233,0.484065,1.75065,C2
100,./real/1/100r.png,./scatter/1/100s.png,Rhombicosidodecahedron,I_h,0.797151,-2.63613,-1.03958,0.993509,1.00653,C2
101,./real/1/101r.png,./scatter/1/101s.png,Truncated Cuboctahedron,O_h,2.19129,1.31747,-2.2094,0.541897,1.01755,C2
102,./real/1/102r.png,./scatter/1/102s.png,Potato,None,0.792112,1.39759,2.7315,0.965195,,
103,./real/1/103r.png,./scatter/1/103s.png,Decahedron,D_5h,2.38343,0.982092,2.65191,0.77622,0.505823,C2
104,./real/1/104r.png,./scatter/1/104s.png,Rhombicuboctahedron,O_h,2.23964,1.81171,-0.68776,0.980584,0.855146,C4
105,./real/1/105r.png,./scatter/1/105s.png,Truncated Icosahedron,I_h,2.6357,-0.864438,2.64628,0.680771,0.984453,C3
106,./real/1/106r.png,./scatter/1/106s.png,Icosidodecahedron,I_h,1.19193,-1.82348,0.107545,0.7291,1.11963,C5
107,./real/1/107r.png,./scatter/1/107s.png,Potato,None,2.20841,1.88916,2.9437,0.250718,,
108,./real/1/108r.png,./scatter/1/108s.png,Truncated Tetrahedron,T_d,1.90112,-0.870408,-0.45172,0.484889,1.26737,C3
109,./real/1/109r.png,./scatter/1/109s.png,Truncated Rhombicosidodecahedron,I_h,1.67158,3.0479,-0.914787,0.341714,1.74297,C3
110,./real/1/110r.png,./scatter/1/110s.png,Truncated Icosahedron,I_h,0.264136,0.293524,2.00131,0.516541,1.53869,C2
111,./real/1/111r.png,./scatter/1/111s.png,Rhombicuboctahedron,O_h,0.982899,3.14047,1.7133,0.673973,1.48374,C3
112,./real/1/112r.png,./scatter/1/112s.png,Cube,O_h,2.65476,-0.7148,-2.74686,0.379455,0.505642,C4
113,./real/1/113r.png,./scatter/1/113s.png,Truncated Twinned Tetrahedron,C_6,2.658,-2.45233,2.40639,0.601314,1.66302,C2
114,./real/1/114r.png,./scatter/1/114s.png,Rhombicuboctahedron,O_h,0.980979,-0.757748,2.29474,0.592144,0.817843,C2
115,./real/1/115r.png,./scatter/1/115s.png,Truncated Octahedron,O_h,1.28727,-1.84919,0.309769,0.419304,1.77035,C3
116,./real/1/116r.png,./scatter/1/116s.png,Truncated Tetrahedron,T_d,0.874881,2.53096,0.503351,0.786406,1.27161,C2
117,./real/1/117r.png,./scatter/1/117s.png,Sphere,SO(3),0,0,0,0.244847,0.972032,{0.231763,0.71548,-0.659071}
118,./real/1/118r.png,./scatter/1/118s.png,Truncated Dodecahedron,I_h,1.75285,-1.79246,-1.3649,0.517962,1.57195,C5
119,./real/1/119r.png,./scatter/1/119s.png,Truncated Cube,O_h,1.76721,-0.182294,2.45924,0.912033,1.09645,C3
120,./real/1/120r.png,./scatter/1/120s.png,Truncated Octahedron,O_h,2.145,-1.63256,-0.389673,0.562777,1.26214,C4
121,./real/1/121r.png,./scatter/1/121s.png,Snub Cube,O,0.778795,0.137836,-1.84049,0.758254,1.30446,C3
122,./real/1/122r.png,./scatter/1/122s.png,Truncated Dodecahedron,I_h,1.8339,1.36521,-1.38999,0.843519,1.18551,C3
123,./real/1/123r.png,./scatter/1/123s.png,Sphere,SO(3),0,0,0,0.559939,0.92655,{-0.638058,-0.21257,-0.740065}
124,./real/1/124r.png,./scatter/1/124s.png,Icosidodecahedron,I_h,1.5883,-0.616728,-0.569218,0.55741,0.781932,C2
125,./real/1/125r.png,./scatter/1/125s.png,Dodecahedron,I_h,1.36311,1.2586,-2.27385,0.719928,1.38903,C5
126,./real/1/126r.png,./scatter/1/126s.png,Cuboctahedron,O_h,0.555052,-1.75394,-0.0324439,0.281533,1.48767,C2
127,./real/1/127r.png,./scatter/1/127s.png,Truncated Dodecahedron,I_h,1.52051,2.93557,-2.9816,0.431762,1.71211,C3
128,./real/1/128r.png,./scatter/1/128s.png,Potato,None,2.61755,-2.28354,1.85576,0.401626,,
129,./real/1/129r.png,./scatter/1/129s.png,Truncated Dodecahedron,I_h,2.43767,1.77991,-2.51523,0.758927,1.31765,C3
130,./real/1/130r.png,./scatter/1/130s.png,Decahedron,D_5h,1.90129,0.0684032,1.06363,0.324952,1.62733,C5
131,./real/1/131r.png,./scatter/1/131s.png,Truncated Tetrahedron,T_d,0.563158,-2.62774,1.43633,0.872107,1.14665,C3
132,./real/1/132r.png,./scatter/1/132s.png,Decahedron,D_5h,2.66442,0.981688,-1.54439,0.499968,1.48143,C5
133,./real/1/133r.png,./scatter/1/133s.png,Icosidodecahedron,I_h,1.02181,-1.66376,2.84472,0.256108,1.82465,C3
134,./real/1/134r.png,./scatter/1/134s.png,Truncated Cuboctahedron,O_h,0.501062,-3.01864,1.21136,0.587873,1.70105,C4
135,./real/1/135r.png,./scatter/1/135s.png,Octahedron,O_h,2.84922,-0.942793,-0.671137,0.832024,1.20189,C3
136,./real/1/136r.png,./scatter/1/136s.png,Potato,None,2.35899,-3.0748,-0.416031,0.255231,,
137,./real/1/137r.png,./scatter/1/137s.png,Icosahedron,I_h,2.00155,-1.97243,0.0982588,0.238154,1.65948,C2
138,./real/1/138r.png,./scatter/1/138s.png,Icosahedron,I_h,1.07439,0.233807,-0.279492,0.278492,1.36147,C2
139,./real/1/139r.png,./scatter/1/139s.png,Snub Cube,O,1.16303,-0.648531,0.057135,0.614753,1.15389,C4
140,./real/1/140r.png,./scatter/1/140s.png,Rhombicuboctahedron,O_h,0.921703,-2.42417,0.180546,0.328509,1.46803,C2
141,./real/1/141r.png,./scatter/1/141s.png,Sphere,SO(3),0,0,0,0.588176,1.27958,{0.224279,-0.959492,-0.170508}
142,./real/1/142r.png,./scatter/1/142s.png,Dodecahedron,I_h,2.55708,2.87585,1.82105,0.414418,1.01165,C5
143,./real/1/143r.png,./scatter/1/143s.png,Sphere,SO(3),0,0,0,0.46227,0.83053,{-0.320662,-0.910198,0.262137}
144,./real/1/144r.png,./scatter/1/144s.png,Sphere,SO(3),0,0,0,0.726989,1.18415,{-0.23389,0.412633,-0.880358}
145,./real/1/145r.png,./scatter/1/145s.png,Truncated Rhombicosidodecahedron,I_h,2.07063,0.667527,-2.10927,0.766591,1.30448,C3
146,./real/1/146r.png,./scatter/1/146s.png,Snub Cube,O,1.56786,2.90564,0.483311,0.611372,1.52161,C4
147,./real/1/147r.png,./scatter/1/147s.png,Icosahedron,I_h,2.56856,-2.48817,-1.18637,0.854289,0.967518,C5
148,./real/1/148r.png,./scatter/1/148s.png,Snub Cube,O,1.88805,-1.6201,2.86625,0.596217,0.70579,C2
149,./real/1/149r.png,./scatter/1/149s.png,Potato,None,2.40398,-0.364798,0.709501,0.329635,,
150,./real/1/150r.png,./scatter/1/150s.png,Truncated Tetrahedron,T_d,1.6547,-0.696681,-0.493211,0.776908,1.28715,C2
151,./real/1/151r.png,./scatter/1/151s.png,Snub Cube,O,1.45343,0.232072,-1.71528,0.76856,0.735029,C3
152,./real/1/152r.png,./scatter/1/152s.png,Truncated Octahedron,O_h,1.28533,-0.317142,1.26667,0.273631,1.08612,C2
153,./real/1/153r.png,./scatter/1/153s.png,Cube,O_h,1.72403,-2.08455,-1.17022,0.725652,1.27312,C2
154,./real/1/154r.png,./scatter/1/154s.png,Potato,None,1.44885,-0.85905,-1.09034,0.951493,,
155,./real/1/155r.png,./scatter/1/155s.png,Cuboctahedron,O_h,1.51489,2.85615,0.999865,0.30546,0.591961,C3
156,./real/1/156r.png,./scatter/1/156s.png,Cuboctahedron,O_h,1.99638,-3.00672,2.92106,0.549456,0.580799,C4
157,./real/1/157r.png,./scatter/1/157s.png,Cuboctahedron,O_h,0.598661,0.894328,3.03551,0.748139,0.903203,C4
158,./real/1/158r.png,./scatter/1/158s.png,Cuboctahedron,O_h,0.544338,2.23054,-2.30492,0.872035,1.14674,C3
159,./real/1/159r.png,./scatter/1/159s.png,Truncated Cube,O_h,1.15863,3.10047,-0.580095,0.951552,0.853853,C2
160,./real/1/160r.png,./scatter/1/160s.png,Icosidodecahedron,I_h,2.58158,-0.199306,-1.76921,0.304446,1.6751,C3
161,./real/1/161r.png,./scatter/1/161s.png,Decahedron,D_5h,0.725474,-1.44872,1.45097,0.699936,0.766456,C2
162,./real/1/162r.png,./scatter/1/162s.png,Cube,O_h,1.94778,2.13186,-2.57076,0.328554,0.870151,C4
163,./real/1/163r.png,./scatter/1/163s.png,Sphere,SO(3),0,0,0,0.347733,1.60756,{0.75222,0.0622239,0.655968}
164,./real/1/164r.png,./scatter/1/164s.png,Truncated Cube,O_h,1.49543,-0.444176,0.0594914,0.894844,0.835742,C4
165,./real/1/165r.png,./scatter/1/165s.png,Tetrahedron,T_d,1.35762,2.89261,-1.64661,0.427298,1.61173,C3
166,./real/1/166r.png,./scatter/1/166s.png,Icosahedron,I_h,2.2974,2.20888,2.27617,0.564921,1.41126,C3
167,./real/1/167r.png,./scatter/1/167s.png,Truncated Cuboctahedron,O_h,2.64797,-2.53842,-0.736452,0.63651,1.29117,C4
168,./real/1/168r.png,./scatter/1/168s.png,Truncated Cuboctahedron,O_h,2.37999,-1.45182,-1.90835,0.690114,1.44904,C3
169,./real/1/169r.png,./scatter/1/169s.png,Truncated Cube,O_h,1.08074,1.27577,1.78847,0.690098,1.44907,C4
170,./real/1/170r.png,./scatter/1/170s.png,Truncated Cube,O_h,1.36304,2.11179,2.65141,0.356257,0.808971,C2
171,./real/1/171r.png,./scatter/1/171s.png,Cube,O_h,0.927141,-1.66037,0.561617,0.629085,1.07778,C3
172,./real/1/172r.png,./scatter/1/172s.png,Truncated Octahedron,O_h,2.49676,-2.81808,0.563054,0.956467,1.04551,C4
173,./real/1/173r.png,./scatter/1/173s.png,Potato,None,1.58276,2.13108,2.93771,0.737746,,
174,./real/1/174r.png,./scatter/1/174s.png,Truncated Dodecahedron,I_h,1.84841,-1.82836,-2.80157,0.615787,1.3468,C5
175,./real/1/175r.png,./scatter/1/175s.png,Truncated Cube,O_h,2.23354,0.775539,2.83974,0.688719,0.606967,C3
176,./real/1/176r.png,./scatter/1/176s.png,Truncated Octahedron,O_h,0.858959,-0.396846,0.473103,0.347664,0.559815,C3
177,./real/1/177r.png,./scatter/1/177s.png,Octahedron,O_h,1.7365,-1.71937,1.38519,0.239697,0.964778,C3
178,./real/1/178r.png,./scatter/1/178s.png,Potato,None,1.44178,-1.3092,-0.0695926,0.88605,,
179,./real/1/179r.png,./scatter/1/179s.png,Rhombicosidodecahedron,I_h,2.29673,2.28363,1.88,0.668127,0.902549,C3
180,./real/1/180r.png,./scatter/1/180s.png,Rhombicosidodecahedron,I_h,1.15496,-2.12564,1.77305,0.525162,0.65072,C5
181,./real/1/181r.png,./scatter/1/181s.png,Truncated Rhombicosidodecahedron,I_h,1.55908,1.03773,-1.50001,0.414144,0.975987,C2
182,./real/1/182r.png,./scatter/1/182s.png,Truncated Cube,O_h,1.84514,2.47558,-3.13865,0.309931,0.718496,C3
183,./real/1/183r.png,./scatter/1/183s.png,Octahedron,O_h,0.809599,-1.31348,2.51488,0.686509,1.28547,C4
184,./real/1/184r.png,./scatter/1/184s.png,Dodecahedron,I_h,1.07982,0.240421,1.46472,0.786054,1.20202,C2
185,./real/1/185r.png,./scatter/1/185s.png,Dodecahedron,I_h,1.30959,2.14412,2.42497,0.548718,1.26,C2
186,./real/1/186r.png,./scatter/1/186s.png,Truncated Octahedron,O_h,1.70121,-2.33431,-0.161292,0.305722,1.34756,C2
187,./real/1/187r.png,./scatter/1/187s.png,Truncated Cube,O_h,0.794282,-0.58845,-2.27724,0.903013,1.1074,C2
188,./real/1/188r.png,./scatter/1/188s.png,Truncated Icosahedron,I_h,1.01333,2.13511,-0.497777,0.527686,1.89507,C2
189,./real/1/189r.png,./scatter/1/189s.png,Cuboctahedron,O_h,0.952353,-2.48267,2.66894,0.750512,0.52158,C2
190,./real/1/190r.png,./scatter/1/190s.png,Sphere,SO(3),0,0,0,0.962319,1.03916,{0.222932,0.495092,0.839753}
191,./real/1/191r.png,./scatter/1/191s.png,Tetrahedron,T_d,0.833738,-1.27645,2.7495,0.611614,0.735975,C3
192,./real/1/192r.png,./scatter/1/192s.png,Icosidodecahedron,I_h,2.05243,-2.7744,-0.476624,0.988128,0.884356,C2
193,./real/1/193r.png,./scatter/1/193s.png,Sphere,SO(3),0,0,0,0.625321,1.46731,{-0.00544526,0.982908,-0.184016}
194,./real/1/194r.png,./scatter/1/194s.png,Decahedron,D_5h,1.15616,-2.33008,-2.00549,0.218125,1.09624,C2
195,./real/1/195r.png,./scatter/1/195s.png,Truncated Twinned Tetrahedron,C_6,0.729317,0.0896085,0.828557,0.402879,1.92017,C6
196,./real/1/196r.png,./scatter/1/196s.png,Truncated Cube,O_h,1.22384,2.90823,-0.0912779,0.797446,0.879091,C2
197,./real/1/197r.png,./scatter/1/197s.png,Rhombicosidodecahedron,I_h,2.46982,1.91134,-2.50671,0.557687,1.79312,C2
198,./real/1/198r.png,./scatter/1/198s.png,Truncated Dodecahedron,I_h,1.93142,1.96929,2.90025,0.302879,1.08593,C2
199,./real/1/199r.png,./scatter/1/199s.png,Decahedron,D_5h,1.2197,-0.156401,1.08417,0.808929,1.2362,C2
200,./real/1/200r.png,./scatter/1/200s.png,Truncated Twinned Tetrahedron,C_6,1.23497,-2.05294,-0.0301548,0.535434,1.15976,C2
201,./real/1/201r.png,./scatter/1/201s.png,Decahedron,D_5h,1.78958,-0.276539,2.74524,0.618366,1.37083,C2
202,./real/1/202r.png,./scatter/1/202s.png,Snub Cube,O,1.25514,-0.203091,-1.87595,0.738607,1.3539,C3
203,./real/1/203r.png,./scatter/1/203s.png,Tetrahedron,T_d,1.22055,1.42052,0.781422,0.781716,1.27924,C2
204,./real/1/204r.png,./scatter/1/204s.png,Truncated Twinned Tetrahedron,C_6,1.04581,2.46614,-0.998865,0.371584,1.12082,C6
205,./real/1/205r.png,./scatter/1/205s.png,Dodecahedron,I_h,1.62857,-2.62278,1.61728,0.618369,1.61716,C5
206,./real/1/206r.png,./scatter/1/206s.png,Truncated Cuboctahedron,O_h,2.36882,-0.0686816,-3.09487,0.341276,1.22149,C4
207,./real/1/207r.png,./scatter/1/207s.png,Snub Cube,O,1.48119,-1.18542,1.0601,0.84009,0.82944,C3
208,./real/1/208r.png,./scatter/1/208s.png,Sphere,SO(3),0,0,0,0.213165,0.919435,{-0.490976,0.771106,0.405386}
209,./real/1/209r.png,./scatter/1/209s.png,Cuboctahedron,O_h,1.66017,1.69306,1.13681,0.709514,1.40942,C4
210,./real/1/210r.png,./scatter/1/210s.png,Snub Cube,O,2.16481,-2.97597,2.65766,0.402397,0.640557,C2
